name,accountnumber,ownerid,active_c,site,accountSource,AnnualRevenue,BillingAddress,CleanStatus,CreatedById,CustomerPriority_c,DandbCompanyId,DunsNumber,Jigsaw,Description,NumberOfEmployees,Fax,Industry,LastModifiedById,NaicsCode,NaicsDesc,NumberofLocations_c,Ownership,ParentId,Phone,Rating,ShippingAddress,Sic,SicDesc,SLA_c,SLAExpirationDate_c,SLASerialNumber_c,TickerSymbol,Tradestyle,Type,UpsellOpportunity_c,Website,YearStarted
GenePoint,CC978213,0050o00000W9DLaAAN,Yes,null,null,30000000.0,"{""city"":""Mountain View"",""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":""CA"",""street"":""345 Shoreline Park\nMountain View, CA 94043\nUSA""}",Pending,0050o00000W9DLaAAN,Low,null,null,null,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,265,(650) 867-9895,Biotechnology,0050o00000W9DLaAAN,null,null,1.0,Private,null,(650) 867-3450,Cold,"{""city"":null,""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":null,""street"":""345 Shoreline Park\nMountain View, CA 94043\nUSA""}",3712,null,Bronze,2019-10-01 00:00:00.000,7324,null,null,Customer - Channel,Yes,www.genepoint.com,null
"United Oil & Gas, UK",CD355119-A,0050o00000W9DLaAAN,Yes,null,null,null,"{""city"":null,""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":""UK"",""street"":""Kings Park, 17th Avenue, Team Valley Trading Estate,\nGateshead, Tyne and Wear NE26 3HS\nUnited Kingdom""}",Pending,0050o00000W9DLaAAN,High,null,null,null,null,24000,+44 191 4956620,Energy,0050o00000W9DLaAAN,null,null,34.0,Public,null,+44 191 4956203,null,"{""city"":null,""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":null,""street"":""Kings Park, 17th Avenue, Team Valley Trading Estate,\nGateshead, Tyne and Wear NE26 3HS\nUnited Kingdom""}",4437,null,Platinum,2019-03-31 00:00:00.000,3479,UOS,null,Customer - Direct,No,http://www.uos.com,null
"United Oil & Gas, Singapore",CD355120-B,0050o00000W9DLaAAN,Yes,null,null,null,"{""city"":""Singapore"",""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":""Singapore"",""street"":""9 Tagore Lane\nSingapore, Singapore 787472\nSingapore""}",Pending,0050o00000W9DLaAAN,High,null,null,null,null,3000,(650) 450-8820,Energy,0050o00000W9DLaAAN,null,null,6.0,Public,null,(650) 450-8810,null,"{""city"":null,""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":null,""street"":""9 Tagore Lane\nSingapore, Singapore 787472\nSingapore""}",4437,null,Platinum,2019-10-01 00:00:00.000,2457,UOS,null,Customer - Direct,Maybe,http://www.uos.com,null
Edge Communications,CD451796,0050o00000W9DLaAAN,Yes,null,null,139000000.0,"{""city"":""Austin"",""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":""TX"",""street"":""312 Constitution Place\nAustin, TX 78767\nUSA""}",Pending,0050o00000W9DLaAAN,Medium,null,null,null,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1000,(512) 757-9000,Electronics,0050o00000W9DLaAAN,null,null,2.0,Public,null,(512) 757-6000,Hot,"{""city"":null,""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":null,""street"":""312 Constitution Place\nAustin, TX 78767\nUSA""}",6576,null,Silver,2019-03-31 00:00:00.000,2657,EDGE,null,Customer - Direct,Maybe,http://edgecomm.com,null
Burlington Textiles Corp of America,CD656092,0050o00000W9DLaAAN,null,null,null,350000000.0,"{""city"":""Burlington"",""geocodeAccuracy"":null,""longitude"":null,""country"":""USA"",""latitude"":null,""postalCode"":""27215"",""state"":""NC"",""street"":""525 S. Lexington Ave""}",Pending,0050o00000W9DLaAAN,null,null,null,null,null,9000,(336) 222-8000,Apparel,0050o00000W9DLaAAN,null,null,6.0,Public,null,(336) 222-7000,Warm,null,546732,null,Silver,2019-03-31 00:00:00.000,5367,BTXT,null,Customer - Direct,Maybe,www.burlington.com,null
Pyramid Construction Inc.,CC213425,0050o00000W9DLaAAN,Yes,null,null,950000000.0,"{""city"":""Paris"",""geocodeAccuracy"":null,""longitude"":null,""country"":""France"",""latitude"":null,""postalCode"":""75251"",""state"":null,""street"":""2 Place Jussieu""}",Pending,0050o00000W9DLaAAN,null,null,null,null,null,2680,(014) 427-4428,Construction,0050o00000W9DLaAAN,null,null,17.0,Public,null,(014) 427-4427,null,"{""city"":""Paris"",""geocodeAccuracy"":null,""longitude"":null,""country"":""France"",""latitude"":null,""postalCode"":""75251"",""state"":null,""street"":""2 Place Jussieu""}",4253,null,Silver,2019-10-01 00:00:00.000,9840,PYR,null,Customer - Channel,Maybe,www.pyramid.com,null
Dickenson plc,CC634267,0050o00000W9DLaAAN,Yes,null,null,50000000.0,"{""city"":""Lawrence"",""geocodeAccuracy"":null,""longitude"":null,""country"":""USA"",""latitude"":null,""postalCode"":""66045"",""state"":""KS"",""street"":""1301 Hoch Drive""}",Pending,0050o00000W9DLaAAN,Low,null,null,null,null,120,(785) 241-6201,Consulting,0050o00000W9DLaAAN,null,null,2.0,Private,null,(785) 241-6200,null,"{""city"":""Lawrence"",""geocodeAccuracy"":null,""longitude"":null,""country"":""USA"",""latitude"":null,""postalCode"":""66045"",""state"":""KS"",""street"":""1301 Hoch Drive""}",6752,null,Bronze,2019-10-01 00:00:00.000,7425,null,null,Customer - Channel,No,dickenson-consulting.com,null
Grand Hotels & Resorts Ltd,CD439877,0050o00000W9DLaAAN,Yes,null,null,500000000.0,"{""city"":""Chicago"",""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":""IL"",""street"":""2334 N. Michigan Avenue, Suite 1500\nChicago, IL 60601, USA""}",Pending,0050o00000W9DLaAAN,High,null,null,null,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",5600,(312) 596-1500,Hospitality,0050o00000W9DLaAAN,null,null,57.0,Public,null,(312) 596-1000,Warm,"{""city"":null,""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":null,""street"":""2334 N. Michigan Avenue, Suite 1500\nChicago, IL 60601, USA""}",2268,null,Gold,2019-10-01 00:00:00.000,5572,GHTL,null,Customer - Direct,Yes,www.grandhotels.com,null
Express Logistics and Transport,CC947211,0050o00000W9DLaAAN,Yes,null,null,950000000.0,"{""city"":""Portland"",""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":""OR"",""street"":""620 SW 5th Avenue Suite 400\nPortland, Oregon 97204\nUnited States""}",Pending,0050o00000W9DLaAAN,Medium,null,null,null,Commerical logistics and transportation company.,12300,(503) 421-7801,Transportation,0050o00000W9DLaAAN,null,null,150.0,Public,null,(503) 421-7800,Cold,"{""city"":null,""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":null,""street"":""620 SW 5th Avenue Suite 400\nPortland, Oregon 97204\nUnited States""}",8742,null,Platinum,2019-10-01 00:00:00.000,4724,EXLT,null,Customer - Channel,Maybe,www.expressl&t.net,null
University of Arizona,CD736025,0050o00000W9DLaAAN,Yes,null,null,null,"{""city"":""Tucson"",""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":""AZ"",""street"":""888 N Euclid \nHallis Center, Room 501\nTucson, AZ 85721\nUnited States""}",Pending,0050o00000W9DLaAAN,Medium,null,null,null,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",39000,(520) 773-9060,Education,0050o00000W9DLaAAN,null,null,3.0,Other,null,(520) 773-9050,Warm,"{""city"":null,""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":null,""street"":""888 N Euclid \nHallis Center, Room 501\nTucson, AZ 85721\nUnited States""}",7321,null,Gold,2019-03-31 00:00:00.000,8350,null,null,Customer - Direct,Yes,www.universityofarizona.com,null
United Oil & Gas Corp.,CD355118,0050o00000W9DLaAAN,Yes,null,null,5600000000.0,"{""city"":""New York"",""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":""NY"",""street"":""1301 Avenue of the Americas \r\nNew York, NY 10019\r\nUSA""}",Pending,0050o00000W9DLaAAN,High,null,null,null,World's third largest oil and gas company.,145000,(212) 842-5501,Energy,0050o00000W9DLaAAN,null,null,955.0,Public,null,(212) 842-5500,Hot,"{""city"":null,""geocodeAccuracy"":null,""longitude"":null,""country"":null,""latitude"":null,""postalCode"":null,""state"":null,""street"":""1301 Avenue of the Americas \r\nNew York, NY 10019\r\nUSA""}",4437,null,Platinum,2019-10-01 00:00:00.000,6654,UOS,null,Customer - Direct,Yes,http://www.uos.com,null
sForce,null,0050o00000W9DLaAAN,null,null,null,null,"{""city"":""San Francisco"",""geocodeAccuracy"":null,""longitude"":null,""country"":""US"",""latitude"":null,""postalCode"":""94087"",""state"":""CA"",""street"":""The Landmark @ One Market""}",Pending,0050o00000W9DLaAAN,null,null,null,null,null,null,(415) 901-7002,null,0050o00000W9DLaAAN,null,null,null,null,null,(415) 901-7000,null,null,null,null,null,null,null,null,null,null,null,www.sforce.com,null
